trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
300,False,"{'a': 0.65, 'e': 0.273561970485359}",30,20,4.322629352133166,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.65, 'e': 0.27291658709523003}",20,9,-5.022698900088056,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
302,False,"{'a': 0.65, 'e': 0.2722721556148423}",30,0,7.421446601618553,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
303,False,"{'a': 0.65, 'e': 0.2716286773355838}",25,10,-37.086040180166556,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
304,False,"{'a': 0.65, 'e': 0.2709861535349719}",35,0,-98.35536888511723,"{0: 30, 1: 0, 2: 2, 3: 0, 4: 3}",0
305,False,"{'a': 0.65, 'e': 0.2703445854766703}",25,2,-69.39052769209802,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
306,False,"{'a': 0.65, 'e': 0.26970397441050586}",20,4,5.792384570774361,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.65, 'e': 0.2690643215724867}",25,14,22.37868555378844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.65, 'e': 0.26842562818481985}",20,8,0.9002391791457613,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
309,False,"{'a': 0.65, 'e': 0.26778789545592996}",25,0,-22.749446847770507,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
310,False,"{'a': 0.65, 'e': 0.26715112458047696}",30,0,-21.128861685750714,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
311,False,"{'a': 0.65, 'e': 0.26651531673937623}",20,8,-25.111543042349577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
312,False,"{'a': 0.65, 'e': 0.265880473099817}",20,0,-8.563644430792033,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
313,False,"{'a': 0.65, 'e': 0.2652465948152819}",20,0,-6.089700614952083,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
314,False,"{'a': 0.65, 'e': 0.26461368302556787}",20,0,16.71830846206603,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
315,False,"{'a': 0.65, 'e': 0.2639817388568052}",35,21,27.038054596598965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.65, 'e': 0.2633507634214788}",30,0,32.60868587110836,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
317,False,"{'a': 0.65, 'e': 0.26272075781844906}",30,11,-12.180185186357704,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
318,False,"{'a': 0.65, 'e': 0.2620917231329727}",25,13,11.268097710227066,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.65, 'e': 0.2614636604367244}",25,18,12.233293018842271,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.65, 'e': 0.2608365707878194}",20,10,-16.418569749481655,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
321,False,"{'a': 0.65, 'e': 0.2602104552308342}",20,16,7.532648100622616,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.65, 'e': 0.2595853147968301}",20,11,19.123068225210293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.65, 'e': 0.25896115050337587}",20,0,-31.904345173245353,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
